aliases,candidate_collisions,caveats,derived_from,id,legal_authority_notes,name,official_url,operating_layers,record_origin,record_type,source_context,source_refs,status,unit_kind
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.132"",""source_row_key"":""132""}",dc.advisory.board.on.veterans.affairs.for.the.district.of.columbia,"[""Mayor's Order 2001-92 Amended 2002-142""]",Advisory Board on Veterans Affairs for the District of Columbia,https://ova.dc.gov/page/advisory-board-dc-veterans-affairs,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":132,""NAME"":""Advisory Board on Veterans Affairs for the District of Columbia"",""SHORT_NAME"":""Advisory Board on Veterans Affairs"",""ACRONYM"":null,""GOVERNING_AGENCY"":""Mayor's Office of Veterans Affairs"",""ADDRESS"":""441 4th Street NW, Suite 707 North"",""TYPE"":""Board"",""WEB_URL"":""https://ova.dc.gov/page/advisory-board-dc-veterans-affairs"",""AUTHORIZING_ORDER_LAW"":""Mayor's Order 2001-92 Amended 2002-142"",""OBJECTID"":132,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
"[""ANC""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.25"",""source_row_key"":""25""}",dc.advisory.neighborhood.commissions,"[""B21-0697""]",Advisory Neighborhood Commissions,https://anc.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":25,""NAME"":""Advisory Neighborhood Commissions"",""SHORT_NAME"":""Advisory Neighborhood Commissions"",""ACRONYM"":""ANC"",""GOVERNING_AGENCY"":null,""ADDRESS"":""1350 Pennsylvania Avenue NW, Suite 11"",""TYPE"":""Commission"",""WEB_URL"":""https://anc.dc.gov/"",""AUTHORIZING_ORDER_LAW"":""B21-0697"",""OBJECTID"":25,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,commission
"[""ABCA""]","[""candidate.dcgis.agencies.1001"",""candidate.dcgis.boards_commissions_councils.26""]","[""Appears in both the DCGIS agencies table and boards/commissions/councils table; treated as one curated civic unit.""]","{""candidate_id"":""candidate.dcgis.agencies.1001"",""source_row_key"":""1001""}",dc.alcoholic.beverage.and.cannabis.administration,"[""§ 25–202 - https://code.dccouncil.gov/us/dc/council/code/sections/25-202""]",Alcoholic Beverage and Cannabis Administration,https://abca.dc.gov/,"[""municipal""]",generated_curated,civic_unit,"{""AGENCY_ID"":1001,""AGENCY_NAME"":""Alcoholic Beverage and Cannabis Administration"",""SHORT_NAME"":""Alcoholic Beverage and Cannabis Administration"",""ACRONYM"":""ABCA"",""BUDGETCODE"":""LQ0"",""LEGISLATION"":""§ 25–202 - https://code.dccouncil.gov/us/dc/council/code/sections/25-202"",""MAYORAL_CLUSTER"":""Planning and Economic Development"",""BRANCH"":""Executive"",""ADDRESS"":""899 North Capitol Street NE, Suite 4200-A/B"",""TYPE"":""Agency"",""WEB_URL"":""https://abca.dc.gov/"",""SOURCE"":""STATUTORY"",""OBP_BFA_APPROPRIATION_TITLE"":""Operations and Infrastructure"",""OBJECTID"":1,""MAYORAL_OR_NOT"":""Mayoral""}","[""dcgis.agencies"",""dcgis.boards_commissions_councils""]",needs_review,agency
,,,,dc.anc.system,,Advisory Neighborhood Commission system,,"[""neighborhood_advisory""]",,civic_unit,,"[""anc_source"",""dc_code""]",active,anc_system
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.27"",""source_row_key"":""27""}",dc.armory.board,"[""D.C. Code § 3-302""]",Armory Board,https://www.open-dc.gov/public-bodies/armory-board,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":27,""NAME"":""Armory Board"",""SHORT_NAME"":""Armory Board"",""ACRONYM"":null,""GOVERNING_AGENCY"":null,""ADDRESS"":null,""TYPE"":""Board"",""WEB_URL"":""https://www.open-dc.gov/public-bodies/armory-board"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-302"",""OBJECTID"":27,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
,,,,dc.attorney.general,,Attorney General for the District of Columbia,,"[""municipal"",""state_equivalent""]",,civic_unit,,"[""dc_code""]",active,elected_office
"[""BCIB""]",,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.28"",""source_row_key"":""28""}",dc.board.for.the.condemnation.of.insanitary.buildings,"[""D.C. Code § 6-902""]",Board for the Condemnation of Insanitary Buildings,https://dob.dc.gov/page/board-condemnation-insanitary-buildings-bcib,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":28,""NAME"":""Board for the Condemnation of Insanitary Buildings"",""SHORT_NAME"":""Board for the Condemnation of Insanitary Buildings"",""ACRONYM"":""BCIB"",""GOVERNING_AGENCY"":""Department of Buildings"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Board"",""WEB_URL"":""https://dob.dc.gov/page/board-condemnation-insanitary-buildings-bcib"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 6-902"",""OBJECTID"":28,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.29"",""source_row_key"":""29""}",dc.board.of.accountancy,"[""D.C. Code § 47-2853.06""]",Board of Accountancy,https://www.dcopla.com/accountancy/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":29,""NAME"":""Board of Accountancy"",""SHORT_NAME"":""Board of Accountancy"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Department of Licensing and Consumer Protection"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Board"",""WEB_URL"":""https://www.dcopla.com/accountancy/"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 47-2853.06"",""OBJECTID"":29,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.30"",""source_row_key"":""30""}",dc.board.of.architecture.interior.design.and.landscape.architecture,"[""D.C. Code § 47-2853.06""]","Board of Architecture, Interior Design, and Landscape Architecture",https://www.dcopla.com/design/,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":30,""NAME"":""Board of Architecture, Interior Design, and Landscape Architecture"",""SHORT_NAME"":""Board of Architecture, Interior Design, and Landscape Architecture"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Department of Licensing and Consumer Protection"",""ADDRESS"":""1100 4th Street SW"",""TYPE"":""Board"",""WEB_URL"":""https://www.dcopla.com/design/"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 47-2853.06"",""OBJECTID"":30,""CLUSTER_DC"":null}","[""dcgis.boards_commissions_councils""]",needs_review,board
[],,,"{""candidate_id"":""candidate.dcgis.boards_commissions_councils.31"",""source_row_key"":""31""}",dc.board.of.audiology.and.speech.language.pathology,"[""D.C. Code § 3-1202.18""]",Board of Audiology and Speech-Language Pathology,https://dchealth.dc.gov/service/audiology-and-speech-language-pathology-licensing,"[""municipal""]",generated_curated,civic_unit,"{""ENTITY_ID"":31,""NAME"":""Board of Audiology and Speech-Language Pathology"",""SHORT_NAME"":""Board of Audiology and Speech-Language Pathology"",""ACRONYM"":null,""GOVERNING_AGENCY"":""DC Health"",""ADDRESS"":""899 North Capitol Street NE"",""TYPE"":""Board"",""WEB_URL"":""https://dchealth.dc.gov/service/audiology-and-speech-language-pathology-licensing"",""AUTHORIZING_ORDER_LAW"":""D.C. Code § 3-1202.18"",""OBJECTID"":31,""CLUSTER_DC"":""Health and Human Services""}","[""dcgis.boards_commissions_councils""]",needs_review,board
